type,repo_name,actor_login,created_at
PushEvent,davidwhogg/CoMiBaRaAn,davidwhogg,1.420268682E9
PushEvent,dfm/mcmc,davidwhogg,1.420269654E9
PushEvent,mkness/TheCannon,davidwhogg,1.420269983E9
WatchEvent,mfouesneau/ezpadova,jonathansick,1.420271536E9
PushEvent,yoachim/AAS2015Poster,yoachim,1.420320856E9
IssuesEvent,mkness/TheCannon,davidwhogg,1.420324333E9
IssueCommentEvent,mkness/TheCannon,davidwhogg,1.420324424E9
PushEvent,kbarbary/sep,kbarbary,1.420329248E9
PushEvent,kbarbary/sep,kbarbary,1.420329248E9
IssueCommentEvent,mkness/TheCannon,davidwhogg,1.420329946E9
PushEvent,rbiswas4/HaloPy,rbiswas4,1.420332898E9
IssueCommentEvent,mkness/TheCannon,davidwhogg,1.420333034E9
IssueCommentEvent,kbarbary/nestle,kbarbary,1.42033505E9
PullRequestEvent,kbarbary/nestle,kbarbary,1.420335053E9
PushEvent,kbarbary/nestle,kbarbary,1.420335053E9
PushEvent,dfm/mcmc,davidwhogg,1.420336937E9
PushEvent,rbiswas4/ex_pypackaging,rbiswas4,1.420343893E9
IssueCommentEvent,scipy/scipy,jakevdp,1.420384048E9
IssueCommentEvent,scipy/scipy,jakevdp,1.420389403E9
WatchEvent,alixander/PyScribe,jonathansick,1.420390605E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420408819E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420410027E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420411527E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.42041175E9
WatchEvent,astropy/AAS2015,gully,1.420418961E9
IssuesEvent,sncosmo/sncosmo,kbarbary,1.420428958E9
IssuesEvent,sncosmo/sncosmo,kbarbary,1.420430918E9
PushEvent,rbiswas4/ex_pypackaging,rbiswas4,1.420433679E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420434765E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.420435291E9
PushEvent,adrn/gary,adrn,1.420440918E9
PushEvent,adrn/StreamMorphology,adrn,1.420440947E9
PushEvent,rbiswas4/ex_pypackaging,rbiswas4,1.420443336E9
IssueCommentEvent,scikit-learn/scikit-learn,jakevdp,1.420447734E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420501343E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420502482E9
PushEvent,kbarbary/SkyCoords.jl,kbarbary,1.420526781E9
IssueCommentEvent,drphilmarshall/LocalGroupHaloProps,drphilmarshall,1.420567427E9
IssueCommentEvent,drphilmarshall/LocalGroupHaloProps,drphilmarshall,1.420567482E9
IssueCommentEvent,drphilmarshall/LocalGroupHaloProps,drphilmarshall,1.420567538E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420570729E9
PushEvent,yasharhezaveh/ALMA_Central_Images,drphilmarshall,1.420576859E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.420579901E9
PushEvent,eggplantbren/Oddity,davidwhogg,1.420581191E9
PushEvent,eggplantbren/Oddity,davidwhogg,1.420581448E9
IssueCommentEvent,astroML/astroML,jakevdp,1.420591634E9
PushEvent,rbiswas4/ex_pypackaging,rbiswas4,1.420592821E9
IssueCommentEvent,astroML/astroML,jakevdp,1.420593926E9
IssueCommentEvent,astroML/astroML,jakevdp,1.420593992E9
PushEvent,gully/bombcat,gully,1.42059454E9
IssuesEvent,jobovy/extreme-deconvolution,jakevdp,1.420594942E9
IssueCommentEvent,astroML/astroML,jakevdp,1.420595003E9
PushEvent,yasharhezaveh/ALMA_Central_Images,drphilmarshall,1.420603989E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420605535E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420607201E9
IssuesEvent,sncosmo/sncosmo,kbarbary,1.420607433E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.420607433E9
ForkEvent,JuliaAstro/JuliaAstro.github.io,kbarbary,1.420609028E9
PushEvent,RuthAngus/Gyro,RuthAngus,1.420657914E9
PushEvent,adrn/gary,adrn,1.420660092E9
PushEvent,kapadia/l8,kapadia,1.420660197E9
PushEvent,adrn/gary,adrn,1.420660775E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420662053E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420662088E9
CreateEvent,mapbox/rasterio,kapadia,1.420665846E9
PushEvent,mapbox/rasterio,kapadia,1.420665974E9
IssuesEvent,mapbox/rasterio,kapadia,1.42066606E9
PushEvent,kbarbary/JuliaAstro.github.io,kbarbary,1.420666704E9
PullRequestEvent,JuliaAstro/JuliaAstro.github.io,kbarbary,1.420666961E9
CreateEvent,bareid/2015-03-01-berkeley,bareid,1.42066736E9
CreateEvent,bareid/2015-03-01-berkeley,bareid,1.42066772E9
PushEvent,mapbox/rasterio,kapadia,1.420668802E9
IssueCommentEvent,mapbox/rasterio,kapadia,1.420668868E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420670132E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420671886E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420674746E9
IssuesEvent,scikit-learn/scikit-learn,jakevdp,1.420675489E9
CreateEvent,GaiaTeamUSA/ZeroDayExploit,adrn,1.420676329E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420677188E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420677208E9
PushEvent,kbarbary/sncosmo,kbarbary,1.4206787E9
PushEvent,kbarbary/sncosmo,kbarbary,1.420679592E9
PullRequestEvent,sncosmo/sncosmo,kbarbary,1.420680395E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420680396E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.420680399E9
DeleteEvent,kbarbary/sncosmo,kbarbary,1.42068041E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.420680453E9
IssuesEvent,sncosmo/sncosmo,kbarbary,1.420680453E9
IssuesEvent,sncosmo/sncosmo,kbarbary,1.42068049E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420682369E9
PushEvent,JuliaAstro/FITSIO.jl,kbarbary,1.42069661E9
PushEvent,kbarbary/FITSIO.jl,kbarbary,1.420696621E9
IssueCommentEvent,scikit-learn/scikit-learn,jakevdp,1.420701744E9
IssueCommentEvent,scipy/scipy,jakevdp,1.420701877E9
IssueCommentEvent,scipy/scipy,jakevdp,1.42070194E9
IssueCommentEvent,scipy/scipy,jakevdp,1.420702134E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420730388E9
PushEvent,jakevdp/supersmoother,jakevdp,1.42073392E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420737358E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420737374E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420737839E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420738052E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420738168E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420738336E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420738862E9
CreateEvent,astroML/periodogram,jakevdp,1.420740942E9
PushEvent,astroML/periodogram,jakevdp,1.420741614E9
CreateEvent,jradavenport/aas225-gender,jradavenport,1.420741664E9
PushEvent,jradavenport/aas225-gender,jradavenport,1.420741768E9
PushEvent,jradavenport/aas225-gender,jradavenport,1.420741973E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420742397E9
CreateEvent,jakevdp/supersmoother,jakevdp,1.420742468E9
CreateEvent,jakevdp/supersmoother,jakevdp,1.420742514E9
CreateEvent,jakevdp/supersmoother,jakevdp,1.420742531E9
DeleteEvent,jakevdp/supersmoother,jakevdp,1.420742647E9
DeleteEvent,jakevdp/supersmoother,jakevdp,1.420742649E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420742672E9
CreateEvent,jakevdp/supersmoother,jakevdp,1.420742707E9
CreateEvent,RuthAngus/trollbot,RuthAngus,1.420742961E9
MemberEvent,RuthAngus/trollbot,RuthAngus,1.420743003E9
CreateEvent,adrn/iyftfyjfjyubhjk,adrn,1.420744591E9
ForkEvent,astroML/periodogram,jakevdp,1.420745292E9
CreateEvent,jakevdp/periodogram,jakevdp,1.420745429E9
PullRequestEvent,astroML/periodogram,jakevdp,1.420745473E9
IssueCommentEvent,astroML/periodogram,jakevdp,1.420745509E9
DeleteEvent,jakevdp/periodogram,jakevdp,1.420745589E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.420747254E9
PullRequestReviewCommentEvent,astroML/periodogram,jakevdp,1.420747456E9
MemberEvent,jradavenport/aas225-gender,jradavenport,1.420747514E9
MemberEvent,jradavenport/aas225-gender,jradavenport,1.42074753E9
MemberEvent,jradavenport/aas225-gender,jradavenport,1.420747546E9
MemberEvent,jradavenport/aas225-gender,jradavenport,1.420747554E9
MemberEvent,jradavenport/aas225-gender,jradavenport,1.420747913E9
PullRequestEvent,astroML/periodogram,jakevdp,1.420748048E9
PushEvent,astroML/periodogram,jakevdp,1.420748048E9
IssueCommentEvent,astroML/periodogram,jakevdp,1.420748048E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.4207482E9
IssuesEvent,adrn/Astropy-WebAPI,adrn,1.420749991E9
PushEvent,ivezic/Notebooks,ivezic,1.420750508E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.420751981E9
IssueCommentEvent,astroML/periodogram,jakevdp,1.42075223E9
PullRequestEvent,astroML/periodogram,jakevdp,1.420752246E9
PushEvent,astroML/periodogram,jakevdp,1.420752246E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.420752462E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.420752498E9
PushEvent,jakevdp/supersmoother,jakevdp,1.42075264E9
IssuesEvent,LSST-nonproject/sims_maf_contrib,rhiannonlynne,1.420752839E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.420752936E9
PushEvent,LSST-nonproject/sims_maf_contrib,rhiannonlynne,1.420753959E9
PushEvent,LSST-nonproject/sims_maf_contrib,rhiannonlynne,1.420753996E9
IssueCommentEvent,astroML/periodogram,jakevdp,1.420755939E9
PullRequestEvent,astroML/periodogram,jakevdp,1.420755941E9
PushEvent,astroML/periodogram,jakevdp,1.420755942E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.420756443E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420756913E9
CreateEvent,jakevdp/periodogram,jakevdp,1.420759189E9
PullRequestEvent,astroML/periodogram,jakevdp,1.420759263E9
IssueCommentEvent,astroML/periodogram,jakevdp,1.420759396E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.420759484E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.420759825E9
IssueCommentEvent,scikit-learn/scikit-learn,jakevdp,1.420759834E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420760904E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420761002E9
CreateEvent,jakevdp/supersmoother,jakevdp,1.420761163E9
WatchEvent,aholachek/gender_question_form,jradavenport,1.420761264E9
IssueCommentEvent,astroML/periodogram,jakevdp,1.420761271E9
PullRequestEvent,astroML/periodogram,jakevdp,1.420761272E9
PushEvent,astroML/periodogram,jakevdp,1.420761273E9
PushEvent,jakevdp/periodogram,jakevdp,1.420761298E9
PushEvent,jakevdp/periodogram,jakevdp,1.420761345E9
PushEvent,jradavenport/aas225-gender,jradavenport,1.420761736E9
IssueCommentEvent,networkx/networkx,jakevdp,1.420761956E9
GollumEvent,ipython/ipython,fperez,1.420762344E9
PushEvent,LSST-nonproject/sims_maf_contrib,rhiannonlynne,1.420762493E9
IssueCommentEvent,astroML/periodogram,jakevdp,1.420763247E9
PullRequestEvent,astroML/periodogram,jakevdp,1.420763248E9
PushEvent,astroML/periodogram,jakevdp,1.420763249E9
PushEvent,jradavenport/aas225-gender,jradavenport,1.4207633E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.420763776E9
IssueCommentEvent,networkx/networkx,jakevdp,1.420764621E9
IssueCommentEvent,networkx/networkx,jakevdp,1.420764712E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.420764739E9
PullRequestReviewCommentEvent,mapbox/rasterio,kapadia,1.420765424E9
PushEvent,jradavenport/jradavenport.github.io,jradavenport,1.420765687E9
PushEvent,jradavenport/aas225-gender,jradavenport,1.420766548E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.420768359E9
PushEvent,karenyyng/karenyyng.github.io,karenyyng,1.420771495E9
IssueCommentEvent,LSST-nonproject/sims_maf_contrib,rhiannonlynne,1.420773383E9
IssueCommentEvent,LSST-nonproject/sims_maf_contrib,rhiannonlynne,1.420773465E9
PushEvent,OttoStruve/UTAstroHackDay2015,gully,1.420774531E9
PullRequestEvent,sncosmo/sncosmo,kbarbary,1.420783503E9
PushEvent,sncosmo/sncosmo,kbarbary,1.420783503E9
PushEvent,rbiswas4/scratch,rbiswas4,1.420788441E9
CreateEvent,rbiswas4/dp_example,rbiswas4,1.420788506E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.420819896E9
PullRequestEvent,sncosmo/sncosmo,kbarbary,1.420819896E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.42082071E9
PushEvent,RuthAngus/trollbot,RuthAngus,1.420824799E9
PushEvent,rogerblandford/Music,drphilmarshall,1.420827286E9
PushEvent,rogerblandford/Music,drphilmarshall,1.420827487E9
PushEvent,rogerblandford/Music,drphilmarshall,1.420830288E9
IssueCommentEvent,rogerblandford/Music,drphilmarshall,1.420831104E9
WatchEvent,labjg/spectrify,gully,1.420833678E9
CreateEvent,yoachim/pyemoji,yoachim,1.420848753E9
IssueCommentEvent,wmorning/EvilLens,drphilmarshall,1.420849744E9
PushEvent,jakevdp/supersmoother,jakevdp,1.42085281E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420854656E9
PushEvent,adrn/Astropy-WebAPI,adrn,1.420856677E9
IssueCommentEvent,LSST-nonproject/sims_maf_contrib,rhiannonlynne,1.420857102E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420860586E9
CreateEvent,jakevdp/supersmoother,jakevdp,1.420860592E9
CreateEvent,rbiswas4/sncosmo_te,rbiswas4,1.420864496E9
PushEvent,rbiswas4/sncosmo_te,rbiswas4,1.42086698E9
IssueCommentEvent,sncosmo/sncosmo,rbiswas4,1.420867844E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.420869432E9
PushEvent,jradavenport/aas225-gender,jradavenport,1.420870057E9
PushEvent,dfm/mcmc,davidwhogg,1.420871881E9
PushEvent,eggplantbren/Oddity,davidwhogg,1.420872184E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420902681E9
CreateEvent,jakevdp/supersmoother,jakevdp,1.420902687E9
IssueCommentEvent,scipy/scipy,jakevdp,1.420903191E9
IssueCommentEvent,scikit-learn/scikit-learn,jakevdp,1.42090425E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420906431E9
CreateEvent,jakevdp/supersmoother,jakevdp,1.42090656E9
PullRequestEvent,jakevdp/supersmoother,jakevdp,1.420906639E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420906655E9
PullRequestEvent,jakevdp/supersmoother,jakevdp,1.420906655E9
DeleteEvent,jakevdp/supersmoother,jakevdp,1.420906911E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420906996E9
PushEvent,jakevdp/supersmoother,jakevdp,1.420907452E9
WatchEvent,warmerdam/landsat_ingestor,kapadia,1.420916109E9
PushEvent,karenyyng/karenyyng.github.io,karenyyng,1.420924341E9
PushEvent,karenyyng/karenyyng.github.io,karenyyng,1.420924408E9
PushEvent,JuliaAstro/FITSIO.jl,kbarbary,1.420925885E9
PushEvent,kbarbary/FITSIO.jl,kbarbary,1.420925893E9
PushEvent,dfm/mcmc,davidwhogg,1.420945471E9
PushEvent,jradavenport/FBeye,jradavenport,1.420948624E9
PushEvent,jradavenport/FBeye,jradavenport,1.420950317E9
PushEvent,jradavenport/FBeye,jradavenport,1.420950907E9
PushEvent,adrn/Astropy-WebAPI,adrn,1.420954408E9
PushEvent,adrn/Astropy-WebAPI,adrn,1.420954506E9
PushEvent,rbiswas4/sncosmo_te,rbiswas4,1.420961165E9
PushEvent,jradavenport/FBeye,jradavenport,1.420964732E9
PushEvent,mkness/TheCannon,davidwhogg,1.420968224E9
IssueCommentEvent,jeffreymei/StellarSpectroscopy,davidwhogg,1.420969219E9
IssueCommentEvent,jeffreymei/StellarSpectroscopy,davidwhogg,1.420969269E9
CreateEvent,jmankin/StJosephDemo,jmankin,1.4210031E9
CreateEvent,jmankin/StJosephDemo,jmankin,1.421003186E9
PushEvent,jmankin/StJosephDemo,jmankin,1.42100359E9
PushEvent,jmankin/StJosephDemo,jmankin,1.421014399E9
PushEvent,jmankin/StJosephDemo,jmankin,1.421014817E9
PushEvent,jmankin/StJosephDemo,jmankin,1.421014908E9
IssuesEvent,mkness/TheCannon,davidwhogg,1.421014957E9
IssuesEvent,mkness/TheCannon,davidwhogg,1.421015009E9
IssuesEvent,mkness/TheCannon,davidwhogg,1.42101507E9
IssuesEvent,mkness/TheCannon,davidwhogg,1.421015159E9
IssuesEvent,mkness/TheCannon,davidwhogg,1.421015215E9
PushEvent,jmankin/StJosephDemo,jmankin,1.421015548E9
IssueCommentEvent,astroML/periodogram,jakevdp,1.421018009E9
PushEvent,jmankin/StJosephDemo,jmankin,1.421018216E9
PushEvent,jakevdp/multiband_LS,jakevdp,1.421020144E9
CreateEvent,jakevdp/multiband_LS,jakevdp,1.421024579E9
CreateEvent,adrn/astropy,adrn,1.421026533E9
PushEvent,jonathansick/paperweight,jonathansick,1.421027867E9
CreateEvent,jonathansick/paperweight,jonathansick,1.421027877E9
PushEvent,jonathansick/preprint,jonathansick,1.42102863E9
CreateEvent,jonathansick/preprint,jonathansick,1.421028635E9
PushEvent,mkness/TheCannon,davidwhogg,1.421035131E9
PushEvent,dfm/mcmc,davidwhogg,1.421035949E9
PushEvent,dfm/mcmc,davidwhogg,1.421036368E9
IssueCommentEvent,ipython/ipython,fperez,1.421036708E9
PushEvent,bareid/LSSanalysis,bareid,1.42104136E9
PushEvent,jonathansick/paperweight,jonathansick,1.421051662E9
PushEvent,jonathansick/preprint,jonathansick,1.421051707E9
CreateEvent,jradavenport/uwthesis,jradavenport,1.421058833E9
PushEvent,gully/bombcat,gully,1.421080384E9
IssueCommentEvent,scikit-learn/scikit-learn,jakevdp,1.42108218E9
IssueCommentEvent,scikit-learn/scikit-learn,jakevdp,1.421082272E9
IssueCommentEvent,scikit-learn/scikit-learn,jakevdp,1.421083449E9
PullRequestEvent,astropy/astropy,adrn,1.42108355E9
PushEvent,jakevdp/multiband_LS,jakevdp,1.421087994E9
PushEvent,jonathansick/paperweight,jonathansick,1.421088686E9
PushEvent,jakevdp/multiband_LS,jakevdp,1.42108969E9
PushEvent,adrn/StreamMorphology,adrn,1.421092185E9
CreateEvent,jradavenport/uwthesis,jradavenport,1.421092721E9
PushEvent,jradavenport/uwthesis,jradavenport,1.421092824E9
PushEvent,adrn/gary,adrn,1.421093828E9
PushEvent,adrn/StreamMorphology,adrn,1.421093875E9
PushEvent,jonathansick/paperweight,jonathansick,1.421094372E9
PushEvent,jradavenport/uwthesis,jradavenport,1.421094528E9
PushEvent,jradavenport/uwthesis,jradavenport,1.42109458E9
PushEvent,jonathansick/paperweight,jonathansick,1.421095654E9
PushEvent,jonathansick/paperweight,jonathansick,1.421095791E9
ForkEvent,ipython/ipython,jonathansick,1.421096534E9
PushEvent,jonathansick/paperweight,jonathansick,1.421096858E9
PushEvent,jonathansick/paperweight,jonathansick,1.421096954E9
PushEvent,jakevdp/multiband_LS,jakevdp,1.421098487E9
PushEvent,jakevdp/multiband_LS,jakevdp,1.421098651E9
IssueCommentEvent,ipython/ipython,fperez,1.421098786E9
WatchEvent,pysal/pysal,kapadia,1.421101555E9
PushEvent,jakevdp/multiband_LS,jakevdp,1.421102494E9
DeleteEvent,jakevdp/multiband_LS,jakevdp,1.421102503E9
PushEvent,kbarbary/METADATA.jl,kbarbary,1.421102524E9
CreateEvent,JuliaAstro/FITSIO.jl,kbarbary,1.421102552E9
PushEvent,mkness/TheCannon,davidwhogg,1.421102576E9
PullRequestEvent,JuliaLang/METADATA.jl,kbarbary,1.421102609E9
PushEvent,mkness/TheCannon,davidwhogg,1.421102855E9
IssueCommentEvent,mkness/TheCannon,davidwhogg,1.421102927E9
IssueCommentEvent,jakevdp/mpld3,jakevdp,1.421103545E9
IssueCommentEvent,jakevdp/mpld3,jakevdp,1.421104318E9
PushEvent,JuliaAstro/DustExtinction.jl,kbarbary,1.421105123E9
PushEvent,jonathansick/paperweight,jonathansick,1.421106368E9
CreateEvent,jonathansick/paperweight,jonathansick,1.421106373E9
PushEvent,jonathansick/paperweight,jonathansick,1.421109838E9
PushEvent,adrn/StreamMorphology,adrn,1.42111017E9
ForkEvent,sncosmo/sncosmo,jakevdp,1.421110364E9
WatchEvent,astrocaroline/opacity-wizard,gully,1.421111539E9
PushEvent,adrn/StreamMorphology,adrn,1.421111592E9
PushEvent,jakevdp/multiband_LS,jakevdp,1.421112261E9
PushEvent,jakevdp/multiband_LS,jakevdp,1.421112612E9
CreateEvent,kbarbary/snpgm,kbarbary,1.42111485E9
PushEvent,kbarbary/snpgm,kbarbary,1.421115167E9
PushEvent,jakevdp/multiband_LS,jakevdp,1.421115323E9
PushEvent,jakevdp/multiband_LS,jakevdp,1.421115731E9
PushEvent,kbarbary/snpgm,kbarbary,1.421116195E9
PushEvent,jakevdp/multiband_LS,jakevdp,1.421116557E9
PushEvent,kbarbary/METADATA.jl,kbarbary,1.421117507E9
PushEvent,kbarbary/METADATA.jl,kbarbary,1.421117913E9
PullRequestEvent,JuliaLang/METADATA.jl,kbarbary,1.421118165E9
CreateEvent,rbiswas4/SNIacatalogs,rbiswas4,1.421119831E9
PushEvent,yoachim/AAS2015Poster,yoachim,1.421120204E9
PushEvent,mkness/TheCannon,davidwhogg,1.42112552E9
PushEvent,jradavenport/FBeye,jradavenport,1.421127455E9
PushEvent,jradavenport/jradavenport_idl,jradavenport,1.421128169E9
PushEvent,JuliaAstro/DustExtinction.jl,kbarbary,1.4211316E9
PushEvent,kbarbary/DustExtinction.jl,kbarbary,1.421131633E9
PushEvent,yoachim/pyemoji,yoachim,1.421132373E9
PushEvent,JuliaAstro/DustExtinction.jl,kbarbary,1.421132558E9
PushEvent,JuliaAstro/DustExtinction.jl,kbarbary,1.42113293E9
PushEvent,jradavenport/wise_locus,jradavenport,1.421137889E9
GollumEvent,OttoStruve/UTAstroHackDay2015,gully,1.421162603E9
GollumEvent,OttoStruve/UTAstroHackDay2015,gully,1.421162772E9
CreateEvent,mapbox/mapnik-omnivore,kapadia,1.421164267E9
IssueCommentEvent,jakevdp/mpld3,jakevdp,1.421165134E9
IssueCommentEvent,scipy/scipy,jakevdp,1.421165193E9
PushEvent,kbarbary/snpgm,kbarbary,1.421172706E9
IssueCommentEvent,ipython/ipython,jakevdp,1.421175077E9
IssueCommentEvent,ipython/ipython,jakevdp,1.421176626E9
IssueCommentEvent,ipython/ipython,jakevdp,1.421176792E9
PushEvent,rogerblandford/Music,drphilmarshall,1.421177113E9
IssuesEvent,rogerblandford/Music,drphilmarshall,1.421178914E9
IssueCommentEvent,rogerblandford/Music,drphilmarshall,1.421178958E9
IssuesEvent,sncosmo/sncosmo,kbarbary,1.421179736E9
IssueCommentEvent,astropy/astropy,adrn,1.421182287E9
IssueCommentEvent,astropy/astropy,adrn,1.421182966E9
IssueCommentEvent,sncosmo/sncosmo,jakevdp,1.421184269E9
IssueCommentEvent,scikit-learn/scikit-learn,jakevdp,1.421184355E9
IssueCommentEvent,scikit-learn/scikit-learn,jakevdp,1.421184436E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.42118569E9
IssueCommentEvent,scikit-learn/scikit-learn,jakevdp,1.421187237E9
PushEvent,mapbox/mapnik-omnivore,kapadia,1.421187643E9
PushEvent,adrn/gary,adrn,1.421187821E9
PullRequestEvent,mapbox/mapnik-omnivore,kapadia,1.421187862E9
IssuesEvent,mapbox/mapnik-omnivore,kapadia,1.421187869E9
PushEvent,adrn/gary,adrn,1.421187962E9
IssueCommentEvent,sncosmo/sncosmo,rbiswas4,1.421188207E9
IssueCommentEvent,sncosmo/sncosmo,kbarbary,1.421189263E9
IssueCommentEvent,sncosmo/sncosmo,rbiswas4,1.421189709E9
IssueCommentEvent,scikit-learn/scikit-learn,jakevdp,1.421191724E9
PushEvent,jmankin/StJosephDemo,jmankin,1.421196187E9
PushEvent,kbarbary/snpgm,kbarbary,1.421196281E9
CreateEvent,ivezic/Astr511,ivezic,1.421197586E9
CreateEvent,ivezic/Astr511,ivezic,1.421197967E9
PushEvent,ivezic/Astr511,ivezic,1.421198066E9
PushEvent,ivezic/Astr511,ivezic,1.421198168E9
PushEvent,ivezic/Astr511,ivezic,1.421198232E9
PushEvent,ivezic/Astr511,ivezic,1.421198283E9
PushEvent,ivezic/Astr511,ivezic,1.421198304E9
PushEvent,ivezic/Astr511,ivezic,1.421198361E9
PushEvent,ivezic/Astr511,ivezic,1.421201988E9
PushEvent,ivezic/Astr511,ivezic,1.421202066E9
PushEvent,ivezic/Astr511,ivezic,1.421202095E9
WatchEvent,tmcw/chroniton,kapadia,1.421208009E9
WatchEvent,iandees/detect-baseball-diamonds,kapadia,1.42120835E9
PushEvent,ivezic/Astr511,ivezic,1.421208805E9
PushEvent,ivezic/Astr511,ivezic,1.421210172E9
CreateEvent,rbiswas4/hosts,rbiswas4,1.421214396E9
PushEvent,rbiswas4/hosts,rbiswas4,1.421215645E9
WatchEvent,brandonckelly/CUDAHM,jonathansick,1.42121999E9
