actor,type,actor,created_at,repo,repo_created_at,repo_url,timestamp,type
kbarbary,GollumEvent,3,3,3,3,3,3,3
karenyyng,PublicEvent,3,3,3,0,3,3,3
nell-byler,PushEvent,3,3,3,3,3,3,3
wilmatrick,ForkEvent,2,2,2,1,2,2,2
ryanmaas,IssueCommentEvent,2,2,2,0,2,2,2
ryanmaas,PullRequestEvent,2,2,2,0,2,2,2
kbarbary,PublicEvent,2,2,2,1,2,2,2
ogtelford,ForkEvent,2,2,2,1,2,2,2
adrn,WatchEvent,2,2,2,2,2,2,2
kapadia,PullRequestReviewCommentEvent,2,2,2,0,2,2,2
ivezic,CommitCommentEvent,2,2,2,2,2,2,2
wilmatrick,PullRequestEvent,2,2,2,0,2,2,2
dhuppenkothen,IssueCommentEvent,2,2,2,2,2,2,2
wilmatrick,WatchEvent,2,2,2,2,2,2,2
yoachim,PullRequestReviewCommentEvent,2,2,2,0,2,2,2
jakevdp,ReleaseEvent,2,2,2,0,2,2,2
RuthAngus,WatchEvent,2,2,2,0,2,2,2
yalsayyad,MemberEvent,2,2,2,0,2,2,2
yoachim,ForkEvent,2,2,2,0,2,2,2
yoachim,MemberEvent,2,2,2,2,2,2,2
rhiannonlynne,WatchEvent,2,2,2,2,2,2,2
profjsb,WatchEvent,2,2,2,1,2,2,2
rbiswas4,DeleteEvent,2,2,2,0,2,2,2
patti,IssuesEvent,2,2,2,2,2,2,2
gully,MemberEvent,2,2,2,2,2,2,2
dhuppenkothen,PullRequestEvent,2,2,2,2,2,2,2
profjsb,PullRequestEvent,2,2,2,1,2,2,2
fperez,CommitCommentEvent,2,2,2,1,2,2,2
rbiswas4,MemberEvent,2,2,2,0,2,2,2
drphilmarshall,CommitCommentEvent,2,2,2,1,2,2,2
rbiswas4,GollumEvent,2,2,2,2,2,2,2
nell-byler,WatchEvent,2,2,2,2,2,2,2
profjsb,GollumEvent,1,1,1,1,1,1,1
drphilmarshall,WatchEvent,1,1,1,1,1,1,1
Waelthus,PullRequestEvent,1,1,1,1,1,1,1
Waelthus,GollumEvent,1,1,1,1,1,1,1
gully,DeleteEvent,1,1,1,1,1,1,1
dhuppenkothen,IssuesEvent,1,1,1,1,1,1,1
yalsayyad,GollumEvent,1,1,1,1,1,1,1
gully,CommitCommentEvent,1,1,1,1,1,1,1
drphilmarshall,PublicEvent,1,1,1,1,1,1,1
RuthAngus,PublicEvent,1,1,1,0,1,1,1
fperez,WatchEvent,1,1,1,0,1,1,1
yoachim,GollumEvent,1,1,1,1,1,1,1
jmankin,ForkEvent,1,1,1,1,1,1,1
jmankin,GollumEvent,1,1,1,1,1,1,1
ogtelford,MemberEvent,1,1,1,0,1,1,1
yoachim,PullRequestEvent,1,1,1,0,1,1,1
jradavenport,ReleaseEvent,1,1,1,0,1,1,1
wilmatrick,GollumEvent,1,1,1,1,1,1,1
kapadia,GollumEvent,1,1,1,1,1,1,1
kapadia,MemberEvent,1,1,1,0,1,1,1
dhuppenkothen,GollumEvent,1,1,1,1,1,1,1
gully,PublicEvent,1,1,1,1,1,1,1
lvrzhn,ForkEvent,1,1,1,0,1,1,1
gully,ReleaseEvent,1,1,1,1,1,1,1
ryanmaas,ForkEvent,1,1,1,1,1,1,1
ryanmaas,GollumEvent,1,1,1,1,1,1,1
drphilmarshall,DeleteEvent,1,1,1,0,1,1,1
ivezic,IssuesEvent,1,1,1,0,1,1,1
karenyyng,PullRequestEvent,1,1,1,1,1,1,1
ivezic,WatchEvent,1,1,1,0,1,1,1
bareid,IssueCommentEvent,1,1,1,1,1,1,1
lvrzhn,PushEvent,1,1,1,0,1,1,1
karenyyng,CommitCommentEvent,1,1,1,1,1,1,1
sofiatti,WatchEvent,1,1,1,1,1,1,1
nell-byler,GollumEvent,1,1,1,1,1,1,1
nell-byler,IssuesEvent,1,1,1,1,1,1,1
adrn,PublicEvent,1,1,1,1,1,1,1
nhuntwalker,WatchEvent,1,1,1,1,1,1,1
